threshold,TP,FN,FP,TN,Precision,Recall,F1,FPR,FNR
0.04020641574162553,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.040624250236900784,97,3,69,31,0.5843373493975904,0.97,0.7293233082706768,0.69,0.03
0.04104208473217604,98,2,69,31,0.5868263473053892,0.98,0.7340823970037452,0.69,0.02
0.04145991922745129,98,2,69,31,0.5868263473053892,0.98,0.7340823970037452,0.69,0.02
0.04187775372272655,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.042295588218001806,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.04271342271327706,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.04313125720855232,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.04354909170382758,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.043966926199102835,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.044384760694378085,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.04480259518965334,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.0452204296849286,99,1,70,30,0.5857988165680473,0.99,0.7360594795539034,0.7,0.01
0.04563826418020386,100,0,70,30,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
0.046056098675479114,100,0,70,30,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
0.04647393317075437,100,0,70,30,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
0.04689176766602963,100,0,70,30,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
0.04730960216130488,100,0,70,30,0.5882352941176471,1.0,0.7407407407407407,0.7,0.0
0.047727436656580136,100,0,71,29,0.5847953216374269,1.0,0.7380073800738007,0.71,0.0
0.04814527115185539,100,0,72,28,0.5813953488372093,1.0,0.7352941176470588,0.72,0.0
0.04856310564713065,100,0,72,28,0.5813953488372093,1.0,0.7352941176470588,0.72,0.0
0.04898094014240591,100,0,72,28,0.5813953488372093,1.0,0.7352941176470588,0.72,0.0
0.049398774637681164,100,0,72,28,0.5813953488372093,1.0,0.7352941176470588,0.72,0.0
0.049816609132956415,100,0,73,27,0.5780346820809249,1.0,0.7326007326007327,0.73,0.0
0.05023444362823167,100,0,73,27,0.5780346820809249,1.0,0.7326007326007327,0.73,0.0
0.05065227812350693,100,0,75,25,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0
0.051070112618782186,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05148794711405744,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.0519057816093327,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05232361610460796,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05274145059988321,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.053159285095158465,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05357711959043372,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05399495408570898,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05441278858098424,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.054830623076259494,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05524845757153475,100,0,77,23,0.5649717514124294,1.0,0.7220216606498194,0.77,0.0
0.05566629206681,100,0,78,22,0.5617977528089888,1.0,0.7194244604316548,0.78,0.0
0.05608412656208526,100,0,78,22,0.5617977528089888,1.0,0.7194244604316548,0.78,0.0
0.056501961057360515,100,0,78,22,0.5617977528089888,1.0,0.7194244604316548,0.78,0.0
0.05691979555263577,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.05733763004791103,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.05775546454318629,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.058173299038461544,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.058591133533736794,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.05900896802901205,100,0,79,21,0.5586592178770949,1.0,0.7168458781362006,0.79,0.0
0.05942680252428731,100,0,80,20,0.5555555555555556,1.0,0.7142857142857143,0.8,0.0
0.059844637019562566,100,0,80,20,0.5555555555555556,1.0,0.7142857142857143,0.8,0.0
0.06026247151483782,100,0,81,19,0.5524861878453039,1.0,0.7117437722419929,0.81,0.0
0.06068030601011308,100,0,81,19,0.5524861878453039,1.0,0.7117437722419929,0.81,0.0
0.06109814050538833,100,0,83,17,0.546448087431694,1.0,0.7067137809187279,0.83,0.0
0.06151597500066359,100,0,83,17,0.546448087431694,1.0,0.7067137809187279,0.83,0.0
0.061933809495938845,100,0,83,17,0.546448087431694,1.0,0.7067137809187279,0.83,0.0
0.0623516439912141,100,0,83,17,0.546448087431694,1.0,0.7067137809187279,0.83,0.0
0.06276947848648935,100,0,83,17,0.546448087431694,1.0,0.7067137809187279,0.83,0.0
0.06318731298176461,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06360514747703987,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06402298197231512,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06444081646759038,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06485865096286564,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06527648545814088,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06569431995341614,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.0661121544486914,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06652998894396665,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06694782343924191,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06736565793451717,100,0,84,16,0.5434782608695652,1.0,0.704225352112676,0.84,0.0
0.06778349242979242,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.06820132692506768,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.06861916142034294,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.0690369959156182,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.06945483041089345,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.06987266490616871,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
