thr,fpr,recall,precision,f1
0.028135407530150754,0.57,0.94,0.6225165562913907,0.7490039840637449
0.028763209094472362,0.58,0.94,0.618421052631579,0.746031746031746
0.02939101065879397,0.59,0.94,0.6143790849673203,0.7430830039525692
0.030018812223115577,0.59,0.94,0.6143790849673203,0.7430830039525692
0.030646613787437185,0.6,0.94,0.6103896103896104,0.7401574803149605
0.03127441535175879,0.63,0.95,0.6012658227848101,0.7364341085271318
0.031902216916080396,0.64,0.95,0.5974842767295597,0.7335907335907336
0.032530018480402004,0.65,0.95,0.59375,0.7307692307692308
0.03315782004472361,0.66,0.95,0.5900621118012422,0.7279693486590039
0.03378562160904522,0.66,0.95,0.5900621118012422,0.7279693486590039
0.034413423173366826,0.66,0.95,0.5900621118012422,0.7279693486590039
0.035041224737688434,0.67,0.95,0.5864197530864198,0.7251908396946565
0.03566902630201005,0.68,0.95,0.5828220858895705,0.7224334600760456
0.036296827866331656,0.69,0.96,0.5818181818181818,0.7245283018867924
0.036924629430653264,0.69,0.96,0.5818181818181818,0.7245283018867924
0.03755243099497487,0.69,0.96,0.5818181818181818,0.7245283018867924
0.03818023255929648,0.69,0.96,0.5818181818181818,0.7245283018867924
0.038808034123618086,0.69,0.96,0.5818181818181818,0.7245283018867924
0.039435835687939694,0.69,0.96,0.5818181818181818,0.7245283018867924
0.0400636372522613,0.69,0.96,0.5818181818181818,0.7245283018867924
0.04069143881658291,0.69,0.97,0.5843373493975904,0.7293233082706768
0.041319240380904516,0.69,0.98,0.5868263473053892,0.7340823970037452
0.041947041945226124,0.7,0.99,0.5857988165680473,0.7360594795539034
0.04257484350954773,0.7,0.99,0.5857988165680473,0.7360594795539034
0.04320264507386934,0.7,0.99,0.5857988165680473,0.7360594795539034
0.04383044663819095,0.7,0.99,0.5857988165680473,0.7360594795539034
0.044458248202512554,0.7,0.99,0.5857988165680473,0.7360594795539034
0.04508604976683416,0.7,0.99,0.5857988165680473,0.7360594795539034
0.04571385133115577,0.7,1.0,0.5882352941176471,0.7407407407407407
0.046341652895477384,0.7,1.0,0.5882352941176471,0.7407407407407407
0.04696945445979899,0.7,1.0,0.5882352941176471,0.7407407407407407
0.0475972560241206,0.71,1.0,0.5847953216374269,0.7380073800738007
0.048225057588442206,0.72,1.0,0.5813953488372093,0.7352941176470588
0.048852859152763814,0.72,1.0,0.5813953488372093,0.7352941176470588
0.04948066071708542,0.73,1.0,0.5780346820809249,0.7326007326007327
0.05010846228140703,0.73,1.0,0.5780346820809249,0.7326007326007327
0.05073626384572864,0.75,1.0,0.5714285714285714,0.7272727272727273
0.051364065410050244,0.77,1.0,0.5649717514124294,0.7220216606498194
0.05199186697437185,0.77,1.0,0.5649717514124294,0.7220216606498194
0.05261966853869346,0.77,1.0,0.5649717514124294,0.7220216606498194
0.05324747010301507,0.77,1.0,0.5649717514124294,0.7220216606498194
0.053875271667336674,0.77,1.0,0.5649717514124294,0.7220216606498194
0.05450307323165828,0.77,1.0,0.5649717514124294,0.7220216606498194
0.05513087479597989,0.77,1.0,0.5649717514124294,0.7220216606498194
0.055758676360301504,0.78,1.0,0.5617977528089888,0.7194244604316548
0.05638647792462311,0.78,1.0,0.5617977528089888,0.7194244604316548
0.05701427948894472,0.79,1.0,0.5586592178770949,0.7168458781362006
0.05764208105326633,0.79,1.0,0.5586592178770949,0.7168458781362006
0.058269882617587934,0.79,1.0,0.5586592178770949,0.7168458781362006
0.05889768418190954,0.79,1.0,0.5586592178770949,0.7168458781362006
0.05952548574623115,0.8,1.0,0.5555555555555556,0.7142857142857143
0.06015328731055276,0.81,1.0,0.5524861878453039,0.7117437722419929
0.060781088874874364,0.81,1.0,0.5524861878453039,0.7117437722419929
0.06140889043919597,0.83,1.0,0.546448087431694,0.7067137809187279
0.06203669200351758,0.83,1.0,0.546448087431694,0.7067137809187279
0.0626644935678392,0.83,1.0,0.546448087431694,0.7067137809187279
0.0632922951321608,0.84,1.0,0.5434782608695652,0.704225352112676
0.06392009669648241,0.84,1.0,0.5434782608695652,0.704225352112676
0.06454789826080401,0.84,1.0,0.5434782608695652,0.704225352112676
0.06517569982512562,0.84,1.0,0.5434782608695652,0.704225352112676
0.06580350138944722,0.84,1.0,0.5434782608695652,0.704225352112676
0.06643130295376884,0.84,1.0,0.5434782608695652,0.704225352112676
0.06705910451809044,0.84,1.0,0.5434782608695652,0.704225352112676
0.06768690608241205,0.85,1.0,0.5405405405405406,0.7017543859649124
0.06831470764673366,0.85,1.0,0.5405405405405406,0.7017543859649124
